,,,,,,,,,,,,,,,,,,,
DIAGRAM PROPERTIES,,,,,,,,,,,,,,,,,,,
,Name:,Copy of Loot Drop Distribution,,,,,,,,,,,,,,,,,
,URL:,https://my.machinations.io/d/copy-of-loot-drop-distribution/f0ed99b6e10311f0838a0abc5ce0dcc9,,,,,,,,,,,,,,,,,
,Owner:,Max Pavlov,,,,,,,,,,,,,,,,,
,Creation Date:,1/1/1970,,,,,,,,,,,,,,,,,
,Last Change:,1/1/1970 0:0:2,,,,,,,,,,,,,,,,,
,Time Interval:,1,,,,,,,,,,,,,,,,,
,Time Steps Limit:,20,,,,,,,,,,,,,,,,,
,Number of Runs (total):,5,,,,,,,,,,,,,,,,,
,Exporting Codec:,v2.1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DIAGRAM RESOURCES,,,,,,,,,,,,,,,,,,,
Name,Display Name,Description,Default,Active,Content,,,,,,,,,,,,,,
Farm Goods,Farm Goods,,no,yes,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 18 18'><rect x='5' y='5' width='8' height='10' rx='1' fill='none' stroke='#000000' stroke-width='2'/><path d='M5 8h8' stroke='#000000' stroke-width='2'/></svg>,,,,,,,,,,,,,,
Luminosity,Luminosity,,no,yes,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 18 18'><circle cx='9' cy='9' r='7' fill='none' stroke='#0060e0' stroke-width='2'/><path d='M9 5v8M5 9h8' stroke='#0060e0' stroke-width='2'/></svg>,,,,,,,,,,,,,,
Seeds,Seeds,,no,yes,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 18 18'><circle cx='9' cy='12' r='3' fill='#ff9900'/><path d='M9 9V4' stroke='#ff9900' stroke-width='2'/></svg>,,,,,,,,,,,,,,
Skills,Skills,,no,yes,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 18 18'><path d='M3 15l6-12 6 12H3z' fill='none' stroke='#009900' stroke-width='2'/></svg>,,,,,,,,,,,,,,
Vegetables,Vegetables,,no,yes,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 18 18'><path d='M9 2s-4 4-4 8 4 6 4 6 4-2 4-6-4-8-4-8z' fill='#009900'/></svg>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,
ID,Label,Layer ID,Group ID,Geometry,Style,Activation,Resources (color),Activation Mode,Position,,,,,,,,,,
3049,>START A PLAY AND CLICK MEFind Loot,201,,"{""labelPoint"":{""x"":11652.22222222222,""y"":1846},""newFormat"":""1"",""x"":11639,""y"":1771,""width"":46,""height"":46}",fontFamily=Roboto;fontSize=16;strokeColor=#7B1FA2;strokeWidth=2;fillColor=#FFFFFF;shape=source-shape;whiteSpace=wrap;html=1;aspect=fixed;resizable=0;fontColor=#7B1FA2,automatic,Black,push-any,50,,,,,,,,,,
3080,,201,,"{""newFormat"":""1"",""x"":11731,""y"":1358,""width"":46,""height"":46}",fontFamily=Roboto;fontSize=16;strokeColor=#000000;strokeWidth=2;fillColor=#ffffff,automatic,Green,push-any,51,,,,,,,,,,
3208,Win Battle,201,,"{""newFormat"":""1"",""x"":12800,""y"":1700,""width"":46,""height"":46}",fontFamily=Roboto;fontSize=16;strokeColor=#000000;strokeWidth=2;fillColor=#ffffff,automatic,Luminosity,push-any,59,,,,,,,,,,
3231,Seed Merchant,201,,"{""newFormat"":""1"",""x"":12400,""y"":2100,""width"":46,""height"":46}",fontFamily=Roboto;fontSize=16;strokeColor=#000000;strokeWidth=2;fillColor=#ffffff,automatic,Seeds,push-any,60,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DRAINS,,,,,,,,,,,,,,,,,,,
ID,Label,Layer ID,Group ID,Geometry,Style,Activation,Activation Mode,Position,,,,,,,,,,,
3252,,201,,"{""newFormat"":""1"",""x"":12076,""y"":1427,""width"":46,""height"":46}",fontFamily=Roboto;fontSize=16;strokeColor=#000000;strokeWidth=2;fillColor=#ffffff,passive,pull-any,66,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
POOLS,,,,,,,,,,,,,,,,,,,
ID,Label,Layer ID,Group ID,Geometry,Style,Activation,Activation Mode,Resources,Resources (color),Capacity (limit),Capacity (display),Overflow,Show in chart,Position,,,,,
3052,Common Item,201,,"{""labelPoint"":{""x"":12277,""y"":1637},""newFormat"":""1"",""x"":12167,""y"":1610,""width"":46,""height"":46}",fontFamily=Roboto;fontSize=16;strokeColor=#9E9A9E;strokeWidth=2;fillColor=#FFFFFF;shape=pool-shape;whiteSpace=wrap;html=1;aspect=fixed;resizable=0;fontColor=#9E9A9E,automatic,push-all,0,Black,-1,0,block,true,50,,,,,
3054,Uncommon Item,201,,"{""labelPoint"":{""x"":12308.5,""y"":1725},""newFormat"":""1"",""x"":12190,""y"":1702,""width"":46,""height"":46}",fontFamily=Roboto;fontSize=16;strokeColor=#4CAF50;strokeWidth=2;fillColor=#FFFFFF;shape=pool-shape;whiteSpace=wrap;html=1;aspect=fixed;resizable=0;fontColor=#4CAF50,automatic,push-all,0,Black,-1,0,block,true,50,,,,,
3056,Rare Item,201,,"{""labelPoint"":{""x"":12280.5,""y"":1795.0581395348834},""newFormat"":""1"",""x"":12190,""y"":1771,""width"":46,""height"":46}",fontFamily=Roboto;fontSize=16;strokeColor=#2196F3;strokeWidth=2;fillColor=#FFFFFF;shape=pool-shape;whiteSpace=wrap;html=1;aspect=fixed;resizable=0;fontColor=#2196F3,passive,pull-any,0,Black,-1,0,block,true,50,,,,,
3058,Epic Item,201,,"{""labelPoint"":{""x"":12282,""y"":1863},""newFormat"":""1"",""x"":12190,""y"":1840,""width"":46,""height"":46}",fontFamily=Roboto;fontSize=16;strokeColor=#E326F2;strokeWidth=2;fillColor=#FFFFFF;shape=pool-shape;whiteSpace=wrap;html=1;aspect=fixed;resizable=0;fontColor=#E326F2,passive,pull-any,0,Black,-1,0,block,true,50,,,,,
3060,Legendary Item,201,,"{""labelPoint"":{""x"":12304,""y"":1930},""newFormat"":""1"",""x"":12190,""y"":1909,""width"":46,""height"":46}",fontFamily=Roboto;fontSize=16;strokeColor=#FF9800;strokeWidth=2;fillColor=#FFFFFF;shape=pool-shape;whiteSpace=wrap;html=1;aspect=fixed;resizable=0;fontColor=#FF9800,passive,pull-any,0,Black,-1,0,block,true,50,,,,,
